dataset,N,P50,P95,P99,P99.9,MAX,>50ms_count,>50ms_per_M,>200ms_count,>200ms_per_M,>1s_count,>1s_per_M,>5s_count,>5s_per_M,>10s_count,>10s_per_M,≥15s_count,≥15s_per_M,≥20s_count,≥20s_per_M
PRE,1877254,0.001512999995611608,0.0024059999268501997,0.005663999821990728,0.031874001026153564,29.5014705657959,835,444.7986260783037,282,150.2194162324331,59,31.428884956431045,33,17.578867856986854,12,6.392315584358856,7,3.728850757542666,6,3.196157792179428
POST,1998947,0.001509999972768128,0.002228999976068735,0.004726999904960394,0.04389987513422966,14.896076202392578,1450,725.3819135774986,207,103.55452145554635,27,13.507111494201697,10,5.0026338867413696,4,2.001053554696548,0,0.0,0,0.0
